,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
34,34,DAL,Nick Fazekas\fazekni01,University of Nevada Reno,1,26,269,107,89,11,.561,.000,.682,10.3,4.1,3.4,0.4,0.8,.148,-0.1,0.1
35,35,SEA,Glen Davis\davisgl01,Louisiana State University,8,514,10865,4111,2236,457,.447,.182,.700,21.1,8.0,4.4,0.9,18.6,.082,-2.3,-0.8
36,36,GSW,Jermareo Davidson\davidje01,University of Alabama,2,52,433,162,96,14,.425,,.578,8.3,3.1,1.8,0.3,0.0,.000,-7.6,-0.6
37,37,POR,Josh McRoberts\mcrobjo01,Duke University,10,431,8265,2333,1686,901,.464,.341,.705,19.2,5.4,3.9,2.1,18.5,.107,1.0,6.2
38,38,PHI,Kyrylo Fesenko\fesenky01,,5,135,1107,305,269,40,.496,.000,.410,8.2,2.3,2.0,0.3,0.9,.038,-4.0,-0.6
39,39,MIA,Stanko Barac\baracst01,,,,,,,,,,,,,,,,,,
40,40,LAL,Sun Yue\yuesu01,,1,10,28,6,0,2,.273,.000,,2.8,0.6,0.0,0.2,-0.1,-.226,-15.2,-0.1
41,41,MIN,Chris Richard\richach01,University of Florida,2,70,780,135,194,25,.483,,.605,11.1,1.9,2.8,0.4,0.7,.045,-3.5,-0.3
42,42,POR,Derrick Byars\byarsde01,Vanderbilt University,1,2,37,10,11,1,.273,.000,1.000,18.5,5.0,5.5,0.5,0.1,.147,0.6,0.0
43,43,NOK,Adam Haluska,University of Iowa,,,,,,,,,,,,,,,,,
44,44,ORL,Reyshawn Terry,University of North Carolina,,,,,,,,,,,,,,,,,
45,45,LAC,Jared Jordan,Marist College,,,,,,,,,,,,,,,,,
46,46,GSW,Stephane Lasme\lasmest01,University of Massachusetts Amherst,1,16,303,83,53,3,.451,,.594,18.9,5.2,3.3,0.2,0.3,.041,-2.8,-0.1
47,47,WAS,Dominic McGuire\mcguido01,California State University Fresno,6,342,5348,939,1169,422,.419,.188,.658,15.6,2.7,3.4,1.2,4.1,.037,-1.6,0.6
48,48,LAL,Marc Gasol\gasolma01,,10,670,22665,10106,5126,2199,.492,.343,.775,33.8,15.1,7.7,3.3,71.0,.150,3.6,32.0
49,49,CHI,Aaron Gray\grayaa01,University of Pittsburgh,7,318,3851,1066,1190,207,.509,.000,.562,12.1,3.4,3.7,0.7,6.2,.077,-1.8,0.2
50,50,DAL,Renaldas Seibutis\seibure01,,,,,,,,,,,,,,,,,,
51,51,CHI,JamesOn Curry\curryja01,Oklahoma State University,1,1,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0
52,52,POR,Taurean Green\greenta01,University of Florida,1,17,74,27,10,11,.280,.182,.917,4.4,1.6,0.6,0.6,-0.1,-.066,-8.2,-0.1
53,53,POR,Demetris Nichols\nichode01,Syracuse University,2,18,58,22,7,2,.281,.200,.500,3.2,1.2,0.4,0.1,-0.2,-.203,-15.3,-0.2
54,54,HOU,Brad Newley\newlebr01,,,,,,,,,,,,,,,,,,
55,55,UTA,Herbert Hill,Providence College,,,,,,,,,,,,,,,,,
56,56,MIL,Ramon Sessions\sessira01,University of Nevada Reno,11,673,15876,7051,1816,2757,.435,.314,.792,23.6,10.5,2.7,4.1,28.4,.086,-1.8,0.7
57,57,DET,Sammy Mejia,DePaul University,,,,,,,,,,,,,,,,,
58,58,SAS,Giorgos Printezis\printgi01,,,,,,,,,,,,,,,,,,
59,59,PHO,D.J. Strawberry\strawdj01,University of Maryland,1,33,270,73,28,30,.315,.240,.474,8.2,2.2,0.8,0.9,-0.2,-.031,-5.1,-0.2
60,60,DAL,Milovan Rakovic\rakovmi01,,,,,,,,,,,,,,,,,,
